IGDB ID,Game name,Game release date,IGDB Edition ID,Game Edition name,Platform,Type,Status,Completion,Ownership,Acquisition,State,Format,Digital service,Subscription,Playtime,Times completed,Completion date,Completion date type,Progress notes,Borrowed from,Returned to owner,Lent to,Lent out,Condition,Region,Collection notes,Amount paid,Acquisition date,Acquisition Source,Additional Cost,Game condition,Manual condition,Box condition,Manual progress,Acquisition Notes,Rating (Score),Rating (Gameplay),Rating (Sound),Rating (Story),Rating (Visual),Rating (Accessibility),Tags,Date added,Last updated
1029,"The Legend of Zelda: Ocarina of Time",1998-11-21,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2024-02-19T00:10:29.000Z,2024-02-19T00:10:29.000Z
1074,"Super Mario 64",1996-06-23,,,Nintendo 64,,Played,Completed,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2024-02-19T00:10:35.000Z,2024-02-19T00:10:35.000Z
1030,"The Legend of Zelda: Majora's Mask",2000-04-27,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2024-02-19T00:10:43.000Z,2024-02-19T00:10:43.000Z
2342,"Mario Kart 64",1996-12-14,,,Nintendo 64,,Played,Completed,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,2024-02-19T00:10:51.000Z,2024-02-19T00:10:51.000Z
2148,"Banjo-Kazooie",1998-06-29,,,Nintendo 64,,Played,Completed,Owned,,,Physical,,,0,,,,"","",,"",,,,"",,,,,,,,,"",7,,,,,,,2024-02-19T00:11:03.000Z,2025-05-13T13:48:09.000Z
1626,"Super Smash Bros.",1999-01-21,,,Nintendo 64,,Played,Completed,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2024-02-19T00:11:08.000Z,2024-10-28T23:36:36.000Z
3340,"Paper Mario",2000-08-11,,,Nintendo 64,,Unplayed,Not Started,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19T00:11:16.000Z,2024-02-19T00:11:16.000Z
2591,"Star Fox 64",1997-04-27,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2024-02-19T00:11:19.000Z,2024-02-19T00:11:19.000Z
3418,"Banjo-Tooie",2000-11-20,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2024-02-19T00:11:30.000Z,2024-03-05T18:24:06.000Z
2289,"Pokémon Stadium",1999-04-30,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T00:11:36.000Z,2024-03-05T18:26:49.000Z
2327,"Mario Party",1998-12-18,,,Nintendo 64,,Played,Beaten,Owned,,,Physical,,,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,2024-02-19T00:11:58.000Z,2024-02-19T00:11:58.000Z
1286,"Conker's Bad Fur Day",2001-03-05,,,Nintendo 64,,Played,Unfinished,Owned,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2024-02-19T00:12:05.000Z,2024-03-05T18:24:38.000Z
